tweet_id,created_at,text
1060301432581169152,2018-11-07 22:42:15,"During a post-Election Day press conference on Wednesday, House Minority Leader @NancyPelosi said House Democrats will strive for transparency and bipartisanship. https://t.co/N0IlB5EBqZ https://t.co/u9LaGTFcBO"
1060299525527613441,2018-11-07 22:34:40,Former Attorney General Jeff Sessions departs the Justice Department hours after he resigned at President Trump's request. https://t.co/SfA26v0ock https://t.co/YXjPufBGwF
1060297032781520898,2018-11-07 22:24:46,Maxine Waters on continuing Trump finance probe: 'We will deal with that' https://t.co/F0d27WZM2k
1060295610845270017,2018-11-07 22:19:07,"American flag mural at pizza shop vandalized, protested in small town https://t.co/cAcnfLtGuf"
1060293810377248768,2018-11-07 22:11:58,RT @FoxBusiness: Florida sports gambling measure passes despite NFL's Dolphins plea to voters https://t.co/gVroP7eFOj
1060292029308121093,2018-11-07 22:04:53,Democratic presidential hopefuls already jockeying for 2020 https://t.co/Naw7ySEuNB
1060290788830167040,2018-11-07 21:59:57,"Mark Penn: Trump needs to be a UNIFIER now to succeed, move on to successful re-election https://t.co/tqjL4qFOB8"
1060289400603623424,2018-11-07 21:54:26,".@DarrellIssa on the Mueller probe: ""Two years is a long time to look for a crime you can't prove."" @TeamCavuto https://t.co/6UTwyCHBgv https://t.co/ubk59Tow5E"
1060287221864038402,2018-11-07 21:45:47,Funerals scheduled for 3 Wisconsin Girl Scouts and mother killed in hit-and-run https://t.co/D1kHaAPTu8
1060278668776407051,2018-11-07 21:11:48,McConnell: Dem Votes Against Kavanaugh Were a 'Godsend' to GOP in Midterms https://t.co/HeI7clSOgM
1060277038504988672,2018-11-07 21:05:19,.@ShepNewsTeam is live with the ‘Fox News Update’ on Facebook Watch: https://t.co/hNrB8xzepH https://t.co/lGYpg0sZAZ
1060276586321248279,2018-11-07 21:03:31,"RT @FoxNewsResearch: Trump’s Biggest Beefs w/ Jeff Sessions:
•Russia probe recusal 
•Not investigating Ds 
•Not probing “Clinton ties to Ru…"
1060276573260144640,2018-11-07 21:03:28,"RT @FoxNewsResearch: Trump's Recent Attacks on Sessions:
8/11: Scared stiff, MIA
8/23: Never took control of DOJ
8/25: Doesn’t understand w…"
1060276272784388096,2018-11-07 21:02:17,"President @realDonaldTrump tweeted earlier today that Matthew Whitaker, who was serving as chief of staff to the attorney general, will become the acting attorney general, following Jeff Sessions' resignation. https://t.co/SfA26v0ock https://t.co/ybux8Fw1Zj"
1060276017665843202,2018-11-07 21:01:16,"""We will protect the rule of law.""

@RepAdamSchiff tweets a statement after Jeff Sessions resigns as attorney general. https://t.co/SfA26v0ock https://t.co/CXBlkt7NG4"
1060275085708349440,2018-11-07 20:57:34,Deputy AG Rosenstein heading to @WhiteHouse for previously scheduled 4 p.m. meeting https://t.co/SfA26v0ock https://t.co/tRYj2L876E
1060274255978528770,2018-11-07 20:54:16,Senator @MarkWarner on Jeff Sessions' resignation as attorney general https://t.co/SfA26v0ock https://t.co/RHSfPaOjRx
1060272893270155266,2018-11-07 20:48:51,Catherine Herridge reports on acting attorney general Matthew Whitaker @ShepNewsTeam https://t.co/SfA26v0ock https://t.co/H9kTj0p2hs
1060271022123954180,2018-11-07 20:41:25,.@SenSchumer calls on acting AG Whitaker to recuse himself from Mueller investigation https://t.co/SfA26v0ock https://t.co/TVhVNHxzet
1060269531610955776,2018-11-07 20:35:29,Scott Walker concedes to Democrat Tony Evers in Wisconsin gubernatorial race https://t.co/cNYiUbMQ9q
1060268741370544141,2018-11-07 20:32:21,JUST IN: Acting AG Whitaker sworn in https://t.co/SfA26v0ock https://t.co/lRztd6D6N2
1060267658057277441,2018-11-07 20:28:03,.@senatemajldr releases a statement following AG Jeff Sessions' resignation https://t.co/SfA26v0ock https://t.co/e8BPukvmHN
1060266613700788228,2018-11-07 20:23:54,A timeline of events leading up to Jeff Sessions' resignation as attorney general @ShepNewsTeam https://t.co/SfA26v0ock https://t.co/AhxbmeNPrB
1060264865837838336,2018-11-07 20:16:57,"""We do know that the @POTUS, this morning, asked for the resignation of Jeff Sessions.""

@johnrobertsFox reports live from the @WhiteHouse on Jeff Sessions' resignation as attorney general. @ShepNewsTeam https://t.co/SfA26v0ock https://t.co/1KjYZgVDRX"
1060264335052816384,2018-11-07 20:14:50,READ: Attorney General Jeff Sessions’ resignation letter https://t.co/tRPKlqjP2r
1060263553138089984,2018-11-07 20:11:44,Former #Trump administration officials: A list of notable departures https://t.co/aF7OE87iFA
1060261466614493184,2018-11-07 20:03:27,".@ChrisStirewalt: ""Sessions was a fearless and relentless, in many ways, prosecutor of the president's agenda."" https://t.co/SfA26v0ock https://t.co/L3r5GssxUz"
1060260043956932608,2018-11-07 19:57:47,"""At your request, I am submitting my resignation.""

WATCH: Catherine Herridge reads Attorney General Jeff Sessions' resignation letter https://t.co/SfA26v0ock https://t.co/ZPrnrXaAnR"
1060258507285581827,2018-11-07 19:51:41,BREAKING NEWS: Attorney General Jeff Sessions resigns; Chief of Staff Matthew G. Whitaker becomes acting AG https://t.co/SfA26v0ock
1060258228846690308,2018-11-07 19:50:35,BREAKING NEWS: Attorney General Jeff Sessions resigns; Chief of Staff Matthew G. Whitaker becomes acting AG https://t.co/qs2Wgqf2WE
1060256412591382529,2018-11-07 19:43:22,"OPINION: Yes, Democrats have won the House but behind Pelosi's soaring rhetoric is THIS harsh political reality https://t.co/ZpofOYXQS5"
1060256208811147266,2018-11-07 19:42:33,.@SenSchumer holds a press conference to discuss the results of the 2018 midterm elections. https://t.co/bmoL8OCN8h
1060254472797073408,2018-11-07 19:35:39,At least 77 military veterans elected to Congress #Midterms2018 https://t.co/uNgXxswzmG
1060253540290052098,2018-11-07 19:31:57,NYPD salutes K-9 as she loses battle with cancer https://t.co/uG0w9Vaj0H
1060252473250725890,2018-11-07 19:27:42,".@senatemajldr: ""I do think voting against Kavanaugh was a mistake."" @dailybriefing https://t.co/zGxqpx1nfa"
1060250767527985152,2018-11-07 19:20:56,".@senatemajldr: ""Now [Democrats] have part of the responsibility for governing— let's get together and figure out how to make it better."" @dailybriefing https://t.co/o1CUhMgdFN"
1060249485941596163,2018-11-07 19:15:50,".@senatemajldr: ""We have to work together. We need to improve the health care system in American because it's not working well."" @dailybriefing https://t.co/7vtnj3BVZ5"
1060247919352258561,2018-11-07 19:09:37,".@MarshaBlackburn: ""Individuals want to see Washington, D.C. work in a way that is going to lead us to a government of, by and for the people, which is how we are founded."" #OutnumberedOT https://t.co/j92xxdPWje"
1060245168044101633,2018-11-07 18:58:41,.@NancyPelosi on how she can work together with @POTUS https://t.co/lDBMXgcCa5
1060243639207636993,2018-11-07 18:52:36,".@NancyPelosi: ""We believe that we have a responsibility to seek common ground where we can. Where we cannot, we must stand our ground, but we must try."" https://t.co/MriXi27tp6"
